,secID,ticker,tradeDate,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio,CurrentAssetsTRate,CurrentRatio,DAVOL10,DAVOL20,DAVOL5,DDNBT,DDNCR,DDNSR,DebtEquityRatio,DebtsAssetRatio,DHILO,DilutedEPS,DVRAT,EBITToTOR,EGRO,EMA10,EMA120,EMA20,EMA5,EMA60,EPS,EquityFixedAssetRatio,EquityToAsset,EquityTRate,ETOP,ETP5,FinancialExpenseRate,FinancingCashGrowRate,FixAssetRatio,FixedAssetsTRate,GrossIncomeRatio,HBETA,HSIGMA,IntangibleAssetRatio,InventoryTDays,InventoryTRate,InvestCashGrowRate,LCAP,LFLO,LongDebtToAsset,LongDebtToWorkingCapital,LongTermDebtToAsset,MA10,MA120,MA20,MA5,MA60,MAWVAD,MFI,MLEV,NetAssetGrowRate,NetProfitGrowRate,NetProfitRatio,NOCFToOperatingNI,NonCurrentAssetsRatio,NPParentCompanyGrowRate,NPToTOR,OperatingExpenseRate,OperatingProfitGrowRate,OperatingProfitRatio,OperatingProfitToTOR,OperatingRevenueGrowRate,OperCashGrowRate,OperCashInToCurrentLiability,PB,PCF,PE,PS,PSY,QuickRatio,REVS10,REVS20,REVS5,ROA,ROA5,ROE,ROE5,RSI,RSTR12,RSTR24,SalesCostRatio,SaleServiceCashToOR,SUE,TaxRatio,TOBT,TotalAssetGrowRate,TotalAssetsTRate,TotalProfitCostRatio,TotalProfitGrowRate,VOL10,VOL120,VOL20,VOL240,VOL5,VOL60,WVAD,REC,DAREC,GREC,FY12P,DAREV,GREV,SFY12P,DASREV,GSREV,FEARNG,FSALESG,TA2EV,CFO2EV,ACCA,DEGM,SUOI,EARNMOM,FiftyTwoWeekHigh,Volatility,Skewness,ILLIQUIDITY,BackwardADJ,MACD,ADTM,ATR14,ATR6,BIAS10,BIAS20,BIAS5,BIAS60,BollDown,BollUp,CCI10,CCI20,CCI5,CCI88,KDJ_K,KDJ_D,KDJ_J,ROC6,ROC20,SBM,STM,UpRVI,DownRVI,RVI,SRMI,ChandeSD,ChandeSU,CMO,DBCD,ARC,OBV,OBV6,OBV20,TVMA20,TVMA6,TVSTD20,TVSTD6,VDEA,VDIFF,VEMA10,VEMA12,VEMA26,VEMA5,VMACD,VOSC,VR,VROC12,VROC6,VSTD10,VSTD20,KlingerOscillator,MoneyFlow20,AD,AD20,AD6,CoppockCurve,ASI,ChaikinOscillator,ChaikinVolatility,EMV14,EMV6,plusDI,minusDI,ADX,ADXR,Aroon,AroonDown,AroonUp,DEA,DIFF,DDI,DIZ,DIF,MTM,MTMMA,PVT,PVT6,PVT12,TRIX5,TRIX10,UOS,MA10RegressCoeff12,MA10RegressCoeff6,PLRC6,PLRC12,SwingIndex,Ulcer10,Ulcer5,Hurst,ACD6,ACD20,EMA12,EMA26,APBMA,BBI,BBIC,TEMA10,TEMA5,MA10Close,AR,BR,ARBR,CR20,MassIndex,BearPower,BullPower,Elder,NVI,PVI,RC12,RC24,JDQS20
0,000001.XSHE,1,2013/7/1,,,,,,28.225,,0.0053,3.0159,,0.5907,0.0173,0.0045,,,,-0.0009,-0.0041,0.0019,1.3715,0.661,2.075,19.4064,0.951,0.0335,0.7,0.0005,,0.4352,10.4556,11.7242,11.1355,9.9726,11.9099,1.7513,25.9757,0.049,0.4873,0.1702,0.1111,,-2.3828,0.0019,12.2029,0.4358,1.4993,0.0167,0.0074,,,-33.7805,25.1043,24.6037,0,,,10.5811,12.2599,11.5414,9.8119,12.0791,-290.5474,31.5951,,0.1241,0.1847,0.3332,6.9198,,0.1997,0.3332,,0.224,0.4358,0.4358,0.2168,2.0001,,0.9005,0.6491,5.8929,1.9576,0.4167,,0.8181,0.7396,0.9606,0.0092,0.0105,0.1679,0.2275,26.3207,0.0741,-0.0734,0.5642,0,1.9739,0.0835,1.9558,0.324,0.0256,0.7725,0.2132,0.0185,0.0194,0.0153,0.0121,0.0213,0.0174,-306.9998,1.7614,0.0099,58,0.1919,-0.0471,32,0.5815,0.0089,58,0.1445,0.1693,-30.7749,-2.0921,0.0605,0.0025,2.0812,8,0.2735,0.3825,-0.3389,0.0294,68.0897,-0.4612,-0.5833,0.5543,0.6222,-7.8462,-15.5137,-0.6219,-19.2745,9.0239,14.0588,-67.4724,-114.8666,-72.9167,-231.0772,20.0831,19.2873,21.6177,-13.5499,-26.0351,5.9319,2.4719,0.2162,0.5079,29.8578,-0.1819,4.6183,1.186,-59.1337,-3.4488,1.0403,8041287314,8150511869,8434995096,856.5608,1058.5781,239.3518,325.3901,1824569.912,4496331.328,90175932.48,88731277.35,84234946.02,91987325.61,5343522.833,9.9925,0.4478,30.0028,30.3246,33501696.89,28810970.65,-6.185,17164588622,3027.524,3083.0485,2990.818,-39.5114,-29.3373,-11.8386,54.8938,-0.1639,-0.1617,4.8976,49.3856,54.6093,40.0864,-76,92,16,-0.5199,-0.7505,-0.5924,0.2038,0.7962,-2.1685,-1.9206,451.0368,452.0329,461.4185,-0.0204,-0.0117,46.9395,-0.1952,-0.2146,-0.0626,-0.259,2.4453,16.71,11.6308,0.5597,-1.4895,-3.5173,10.6282,11.3787,0.4648,10.5556,1.0825,9.452,9.6975,1.0851,67.1894,49.1132,18.0762,31.2808,25.7618,-1.2671,-0.7564,0.0524,7.8355,2058.6676,0.8376,0.767,0.1538
1,000001.XSHE,1,2013/7/2,,,,,,28.225,,0.0053,3.0159,,0.5907,0.0176,0.0045,,,,-0.0006,-0.0041,-0.0018,1.3715,0.661,2.075,19.4064,0.951,0.0336,0.7,0.0266,,0.4352,10.2999,11.689,10.9892,9.8481,11.8342,1.7513,25.9757,0.049,0.4873,0.1729,0.1111,,-2.3828,0.0019,12.2029,0.4358,1.5008,0.0167,0.0074,,,-33.7805,25.0888,24.5882,0,,,10.3187,12.2629,11.3646,9.7357,12.0324,-316.3908,31.6281,,0.1241,0.1847,0.3332,6.9198,,0.1997,0.3332,,0.224,0.4358,0.4358,0.2168,2.0001,,0.8866,0.6391,5.8023,1.9275,0.3333,,0.7853,0.7308,0.9618,0.0092,0.0105,0.1679,0.2275,22.2326,0.0299,-0.0889,0.5642,0,1.9739,0.0835,1.9563,0.324,0.0256,0.7725,0.2132,0.0189,0.0195,0.0154,0.0122,0.0177,0.017,-353.1922,1.7614,0.0098,58,0.1949,-0.0471,30,0.5906,0.0089,58,0.1445,0.1693,-30.1451,-2.0493,0.0605,0.0025,2.0812,8,0.2528,0.3787,-0.1859,0.0303,68.0897,-0.4114,-0.6386,0.5455,0.5904,-6.9734,-15.5352,-1.4025,-20.2227,8.8219,13.9073,-67.6828,-107.7056,-151.5805,-230.0374,17.9014,18.8253,18.2792,-5.432,-26.9193,6.3427,2.2925,0.1874,0.5505,25.3964,-0.2147,4.7219,1.186,-59.8504,-3.1165,1.0362,7959911938,8079553750,8397305548,850.0985,986.138,239.7073,333.0084,2174950.769,3576474.199,88575831.3,87599600.22,84023126.02,88450009.07,2803046.86,11.7729,0.3814,53.447,-30.25,32196914.78,28776716.53,-6.5785,17039597905,3032.7628,3071.3006,3012.411,-40.5186,-15.8674,-2.9504,48.5507,-0.1475,-0.1043,4.3137,45.2099,57.1018,42.3918,-88,100,12,-0.5713,-0.777,-0.5582,0.2209,0.7791,-2.6237,-2.0917,449.7706,451.0415,459.5773,-0.0189,-0.0124,45.8641,-0.2071,-0.2144,-0.0447,-0.2589,-4.3694,17.6839,9.225,0.5943,-0.5625,-3.484,10.4699,11.2469,0.3079,10.453,1.0889,9.369,9.6069,1.075,63.3166,46.8865,16.4301,30.4492,25.845,-1.1791,-0.748,0.0449,7.8355,2026.6352,0.8129,0.7488,0.1538
2,000001.XSHE,1,2013/7/3,,,,,,28.225,,0.0053,3.0159,,0.586,0.0181,0.0045,,,,-0.0002,-0.0039,-0.0028,1.3688,0.658,2.0802,19.4064,0.951,0.0336,0.7,0.0506,,0.4352,10.1237,11.6501,10.8312,9.6757,11.7521,1.7513,25.9757,0.049,0.4873,0.1779,0.1111,,-2.3828,0.0019,12.2029,0.4358,1.5162,0.0166,0.0074,,,-33.7805,25.0603,24.5596,0,,,10.0599,12.2611,11.1809,9.6499,11.9801,-352.0075,31.6197,,0.1241,0.1847,0.3332,6.9198,,0.1997,0.3332,,0.224,0.4358,0.4358,0.2168,2.0001,,0.8617,0.6211,5.6391,1.8733,0.25,,0.7828,0.7176,0.956,0.0092,0.0105,0.1679,0.2275,18.7025,0.002,-0.1174,0.5642,0,1.9739,0.0835,1.9542,0.324,0.0256,0.7725,0.2132,0.0193,0.0195,0.0156,0.0122,0.0167,0.017,-396.71,1.7614,0.0091,58,0.2006,-0.0471,28,0.6077,0.0089,58,0.1445,0.1693,-29.0741,-1.9765,0.0605,0.0025,2.0812,8,0.2155,0.3699,-0.0514,0.0315,68.0897,-0.3822,-0.6479,0.5301,0.5469,-7.2466,-16.5467,-3.306,-22.1134,8.6063,13.7556,-82.1606,-105.754,-139.2337,-234.2974,13.0119,16.8876,10.4681,-6.5072,-28.2442,6.5111,2.2925,0.1624,0.5649,22.3292,-0.2172,4.8588,1.186,-60.7597,-2.7823,1.0315,7882796090,8024362366,8358680604,847.9138,832.7945,240.6989,100.0103,2235008.509,2475239.466,86492197.97,85986715.26,83511475.8,84671955.38,480461.9148,14.2018,0.376,54.5116,-55.0911,30572684.86,28449071.13,-7.1236,16997739015,2989.3532,3060.2003,3005.3184,-41.6285,-10.0436,-12.8583,43.6314,-0.121,-0.0207,3.8468,42.8333,59.4444,45.6148,-92,100,8,-0.6191,-0.8102,-0.6262,0.1869,0.8131,-2.5885,-2.2421,447.6153,450.1708,457.5174,-0.018,-0.013,52.0628,-0.2186,-0.2239,-0.0676,-0.2487,-7.3676,18.2908,7.5514,0.6017,-0.6605,-3.4415,10.2947,11.1049,0.2297,10.2843,1.1022,9.2187,9.3953,1.0781,62.0822,47.0138,15.0684,28.4443,25.8383,-1.105,-0.8256,0.0299,7.6165,2026.6352,0.7828,0.7376,0.1538
3,000001.XSHE,1,2013/7/4,,,,,,28.225,,0.0053,3.0159,,0.6076,0.018,0.0045,,,,-0.0004,-0.0036,-0.0029,1.3606,0.6555,2.0758,19.4064,0.951,0.0337,0.7,0.0717,,0.4352,9.9866,11.6124,10.692,9.5737,11.674,1.7513,25.9757,0.049,0.4873,0.1771,0.1111,,-2.3828,0.0019,12.2029,0.4358,1.5171,0.0166,0.0074,,,-33.7805,25.0646,24.5639,0,,,9.8789,12.2598,11.0017,9.604,11.9258,-380.8816,26.2759,,0.1241,0.1847,0.3332,6.9198,,0.1997,0.3332,,0.224,0.4358,0.4358,0.2168,2.0001,,0.8654,0.6238,5.6633,1.8814,0.25,,0.8381,0.7232,0.9761,0.0092,0.0105,0.1679,0.2275,13.1453,0.0076,-0.1049,0.5642,0,1.9739,0.0835,1.9541,0.324,0.0256,0.7725,0.2132,0.0191,0.0195,0.0159,0.0123,0.0166,0.0171,-477.5427,1.7614,0.0087,58,0.1997,-0.0478,26,0.6051,0.0082,58,0.1445,0.1693,-29.228,-1.9869,0.0605,0.0025,2.0812,8,0.221,0.3578,0.0947,0.0315,68.0897,-0.3278,-0.7728,0.5321,0.5489,-5.1543,-14.8335,-2.4393,-21.4323,8.448,13.5553,-96.4487,-97.2451,-96.4682,-227.1555,16.2882,16.6878,13.4806,-4,-27.6778,6.8404,1.5542,0.2151,0.4896,30.5236,-0.1619,4.8107,1.2249,-59.4108,-2.2169,1.0272,7963312082,7999542831,8326856030,849.4251,792.3955,239.9481,65.4713,2159102.291,1855477.422,85405615.07,85145065.53,83289588.11,83286634.26,-607249.7388,14.4533,0.3427,28.0369,-20.8417,30917874.67,27964729.21,-7.7689,17027180692,3012.2816,3051.323,3004.5116,-41.9537,-9.9903,-8.4472,15.3464,-0.1282,-0.0463,3.3211,43.4736,61.9235,48.6324,-92,96,4,-0.6601,-0.824,-0.7134,0.1433,0.8567,-1.8096,-2.2455,447.9506,449.7299,455.3521,-0.0169,-0.0135,48.8525,-0.2242,-0.2283,-0.0918,-0.205,-1.0838,18.4904,4.459,0.5914,-0.0611,-2.9105,10.1524,10.9764,0.1656,10.135,1.0817,9.1608,9.3471,1.0543,62.9771,45.7912,17.1859,29.8549,25.8648,-1.2205,-0.6617,0.0596,7.6165,2035.0745,0.7666,0.7001,0.1667
4,000001.XSHE,1,2013/7/5,,,,,,28.225,,0.0053,3.0159,,0.5499,0.018,0.0045,,,,-0.0005,-0.0038,-0.0042,1.3653,0.6575,2.0765,19.4064,0.951,0.0337,0.7,0.0883,,0.4352,9.8745,11.5753,10.5661,9.5057,11.5984,1.7513,25.9757,0.049,0.4873,0.1771,0.1111,,-2.3828,0.0019,12.2029,0.4358,1.518,0.0166,0.0074,,,-33.7805,25.0646,24.5639,0,,,9.688,12.258,10.8156,9.4841,11.8709,-383.4636,26.332,,0.1241,0.1847,0.3332,6.9198,,0.1997,0.3332,,0.224,0.4358,0.4358,0.2168,2.0001,,0.8654,0.6238,5.6633,1.8814,0.25,,0.8307,0.7158,0.9399,0.0092,0.0105,0.1679,0.2275,14.2635,-0.0023,-0.1409,0.5642,0,1.9739,0.0835,1.9627,0.324,0.0256,0.7725,0.2132,0.0191,0.0196,0.0158,0.0123,0.0154,0.017,-411.4584,1.7614,0.0087,58,0.1997,-0.0478,24,0.6051,0.0082,58,0.1445,0.1693,-29.228,-1.9869,0.0605,0.0025,2.0812,8,0.221,0.361,0.1898,0.0314,68.0897,-0.2646,-0.7311,0.5105,0.4957,-3.285,-13.3693,-1.206,-21.0699,8.3626,13.2686,-84.1586,-82.1832,-29.9368,-209.4812,24.729,19.3682,26.6626,-2.3901,-28.424,6.598,1.7744,0.1864,0.4243,30.5224,-0.1693,4.8107,1.0898,-63.0608,-1.3926,1.0225,7963312082,7988654414,8291463042,833.2277,756.8155,245.0887,97.7213,1735838.984,42785.7531,81539980.33,81914228.37,81871442.62,76905964.17,-3386106.461,14.5344,0.3809,7.4128,-23.2598,30600223.29,28114760.54,-7.5713,16699784914,2964.6904,3039.0966,3006.1234,-41.2571,-4.9053,-21.0174,0.1029,-0.1325,-0.0346,3.0003,39.2713,64.0721,49.7818,-88,92,4,-0.6931,-0.8254,-0.7074,0.1463,0.8537,-1.9095,-2.2553,447.9506,449.5189,453.3103,-0.0153,-0.0137,47.8225,-0.2243,-0.2261,-0.126,-0.1552,0.8582,18.225,4.7224,0.6468,0.3404,-3.1269,10.032,10.8574,0.173,10.0135,1.0687,9.1457,9.3432,1.034,64.9744,47.8441,17.1303,30.5536,25.6154,-0.768,-0.5386,0.0245,7.6165,2035.0745,0.7861,0.7107,0.1667
5,000001.XSHE,1,2013/7/8,,,,,,28.225,,0.0053,3.0159,,0.5996,0.0188,0.0045,,,,-0.0016,-0.0037,-0.005,1.3695,0.6643,2.0617,19.4064,0.951,0.0337,0.7,0.0881,,0.4352,9.7137,11.5326,10.416,9.3339,11.5129,1.7513,25.9757,0.049,0.4873,0.1846,0.1111,,-2.3828,0.0019,12.2029,0.4358,1.5201,0.0165,0.0074,,,-33.7805,25.0232,24.5225,0,,,9.572,12.2524,10.6205,9.332,11.8096,-398.9417,20.5302,,0.1241,0.1847,0.3332,6.9198,,0.1997,0.3332,,0.224,0.4358,0.4358,0.2168,2.0001,,0.8303,0.5985,5.4336,1.8051,0.25,,0.8857,0.6973,0.922,0.0092,0.0105,0.1679,0.2275,15.8684,-0.0378,-0.1674,0.5642,0,1.9739,0.0835,1.9638,0.324,0.0256,0.7725,0.2132,0.018,0.0196,0.0159,0.0123,0.0146,0.0171,-447.747,1.7578,0.0057,58,0.2081,-0.0478,22,0.6303,0.0076,58,0.1444,0.1686,-27.8291,-1.8918,0.0605,0.0025,2.0812,8,0.1686,0.3521,0.2371,0.0331,68.0897,-0.2468,-0.7614,0.5026,0.4797,-6.0754,-15.3484,-3.6603,-23.8711,8.2435,12.9975,-157.5827,-94.3397,-145.5177,-223.472,10.3855,16.3739,9.7102,-9.8181,-30.2669,6.8071,1.6245,0.1615,0.4092,28.2986,-0.1143,4.992,1.0898,-64.1619,-1.3033,1.0164,7903811394,7952405150,8255562527,828.5662,695.7594,249.8763,97.9516,1038999.529,-1748358.292,77532836.27,78465991.39,80214349.68,71104205.45,-5574715.642,14.9628,0.3835,-34.1126,-35.789,31421545.85,27645883.36,-7.5844,16602326946,2913.5274,3024.8536,2990.0232,-42.0405,-15.8281,-40.5282,-21.7201,-0.1569,-0.0545,2.6414,44.3871,66.5251,49.4646,-96,100,4,-0.724,-0.8474,-0.7114,0.1443,0.8557,-1.1601,-2.0971,445.5419,448.311,451.535,-0.0149,-0.0139,46.618,-0.2187,-0.2034,-0.1272,-0.1358,-6.3108,17.5321,5.4117,0.6658,-0.7087,-3.3083,9.8717,10.7191,0.2292,9.8556,1.0962,8.985,9.0876,1.0647,54.8675,37.7309,17.1366,29.7505,25.4335,-0.9784,-0.6879,0.0323,7.3082,2035.0745,0.8042,0.6845,0.1667
6,000001.XSHE,1,2013/7/9,,,,,,28.225,,0.0053,3.0159,,0.6127,0.0188,0.0045,,,,-0.0041,-0.0039,-0.0062,1.3726,0.6638,2.0677,19.4064,0.951,0.0335,0.7,0.0931,,0.4352,9.5839,11.4907,10.2811,9.2225,11.4305,1.7513,25.9757,0.049,0.4873,0.1844,0.1111,,-2.3828,0.0019,12.2029,0.4358,1.5241,0.0165,0.0074,,,-33.7805,25.0243,24.5236,0,,,9.4739,12.2447,10.4469,9.2121,11.7538,-418.1207,20.9632,,0.1241,0.1847,0.3332,6.9198,,0.1997,0.3332,,0.224,0.4358,0.4358,0.2168,2.0001,,0.8312,0.5992,5.4396,1.8071,0.25,,0.9017,0.7217,0.9375,0.0092,0.0105,0.1679,0.2275,13.4204,-0.0334,-0.1662,0.5642,0,1.9739,0.0835,1.9653,0.324,0.0256,0.7725,0.2132,0.0155,0.0196,0.0157,0.0124,0.0134,0.0171,-422.074,1.7561,0.0024,58,0.2079,-0.0436,20,0.6296,0.0098,58,0.1444,0.1686,-27.8642,-1.8942,0.0605,0.0025,2.0812,8,0.17,0.3643,0.361,0.0321,68.0897,-0.2082,-0.7603,0.4767,0.4232,-5.0056,-13.8536,-2.3059,-23.4317,8.1327,12.7612,-128.0665,-90.661,-93.3418,-214.848,7.9433,13.5637,1.9056,-7.704,-27.8338,6.7775,1.6245,0.183,0.3546,34.0402,-0.0983,4.5701,1.0991,-61.2256,-1.3513,1.0104,7955026458,7938028341,8225735597,807.5253,643.6963,262.382,126.1237,72656.9379,-3792713.425,72747786.77,74273541.02,78066254.45,64474491.63,-7730740.725,15.6587,0.4422,-16.5882,-35.9969,15188585.35,28288627.33,-7.6788,16180464998,2883.8766,3011.7806,2966.082,-40.8131,-20.1692,-54.2598,-39.3046,-0.151,-0.0554,2.4136,40.5589,68.651,49.8529,-84,96,12,-0.75,-0.8541,-0.6718,0.1641,0.8359,-0.9806,-1.9461,445.5946,447.4039,449.7184,-0.0144,-0.0141,40.6521,-0.2072,-0.168,-0.1148,-0.0962,-1.8958,16.8277,5.4452,0.6681,-0.4607,-2.8568,9.7376,10.5917,0.2443,9.7042,1.0783,8.9014,8.9952,1.0527,57.0156,39.3584,17.6572,31.6086,25.2347,-0.8429,-0.7023,0.0156,7.3157,2035.0745,0.7979,0.6921,0.1818
7,000001.XSHE,1,2013/7/10,,,,,,28.225,,0.0053,3.0159,,0.5875,0.018,0.0045,,,,-0.0046,-0.0038,-0.0063,1.3631,0.6629,2.0562,19.4064,0.951,0.0335,0.7,0.0831,,0.4352,9.5503,11.4561,10.1972,9.2815,11.3639,1.7513,25.9757,0.049,0.4873,0.1766,0.1111,,-2.3828,0.0019,12.2029,0.4358,1.5245,0.0165,0.0074,,,-33.7805,25.0678,24.5671,0,,,9.4378,12.2404,10.312,9.2258,11.7045,-417.3527,27.5253,,0.1241,0.1847,0.3332,6.9198,,0.1997,0.3332,,0.224,0.4358,0.4358,0.2168,2.0001,,0.8681,0.6258,5.6814,1.8874,0.3333,,0.963,0.7769,1.0073,0.0092,0.0105,0.1679,0.2275,34.2636,0.0389,-0.1228,0.5642,0,1.9739,0.0835,1.9716,0.324,0.0256,0.7725,0.2132,0.015,0.0196,0.0158,0.0124,0.0133,0.0171,-348.5844,1.7561,0.0024,58,0.1991,-0.0449,18,0.6028,0.0096,58,0.1444,0.1686,-29.3444,-1.9948,0.0605,0.0025,2.0812,8,0.2252,0.3596,0.5738,0.0332,68.0897,-0.1086,-0.7574,0.4719,0.4208,-0.4078,-8.8495,1.8809,-19.6952,8.0904,12.5336,-51.0843,-70.325,20.3076,-190.3056,25.1268,17.4181,25.0888,-2.0817,-22.3123,6.6961,1.6245,0.1995,0.3073,39.3646,-0.037,4.1982,1.4987,-47.3854,-1.257,1.0061,8029750618,7949668121,8202889213,802.0533,628.7095,263.779,111.7558,-637039.425,-3475824.876,73107127.35,74342867.02,77818691.9,67891047.75,-5677570.903,11.9103,0.5249,-35.951,-8.1735,12506600.07,28130105.64,-7.0478,16079377387,2958.6008,3004.7775,2953.7217,-37.2057,-7.1734,-31.1687,-34.5861,-0.1115,-0.0316,10.2668,35.5086,66.2786,49.4097,-84,92,8,-0.7636,-0.8179,-0.521,0.2395,0.7605,-0.3608,-1.7483,448.9129,447.261,449.1512,-0.012,-0.0139,45.6585,-0.1923,-0.1269,-0.0328,-0.0766,8.6264,15.6794,4.6315,0.6318,0.1499,-1.9946,9.6855,10.5034,0.2152,9.6457,1.0262,9.0452,9.2523,1.0041,59.84,42.3149,17.5251,38.4992,25.1238,-0.7634,-0.3545,0.0435,7.3157,2125.4479,0.926,0.7255,0.2
8,000001.XSHE,1,2013/7/11,,,,,,28.225,,0.0053,3.0159,,0.5498,0.0163,0.0045,,,,-0.003,-0.0028,-0.0028,1.3631,0.6629,2.0562,19.4064,0.951,0.0337,0.7,0.0364,,0.4352,9.6938,11.4377,10.2107,9.6341,11.3303,1.7513,25.9757,0.049,0.4873,0.1605,0.1111,,-2.3828,0.0019,12.2029,0.4358,1.5605,0.0165,0.0074,,,-33.7805,25.1631,24.6624,0,,,9.5118,12.2424,10.2468,9.4197,11.6765,-385.1574,38.9787,,0.1241,0.1847,0.3332,6.9198,,0.1997,0.3332,,0.224,0.4358,0.4358,0.2168,2.0001,,0.955,0.6884,6.2495,2.0761,0.4167,,1.0771,0.8881,1.1035,0.0092,0.0105,0.1679,0.2275,55.6858,0.1208,-0.0407,0.5642,0,1.9739,0.0835,2.0531,0.324,0.0256,0.7725,0.2132,0.0168,0.0198,0.017,0.0125,0.017,0.0174,-203.5379,1.7561,0.0012,58,0.181,-0.0451,16,0.548,0.0089,58,0.1444,0.1686,-33.5303,-2.2794,0.0605,0.0025,2.0812,8,0.3549,0.4152,0.7396,0.0348,68.0897,0.0934,-0.6411,0.5053,0.5073,8.699,0.901,9.7621,-11.452,8.1148,12.3788,151.8249,-13.1603,154.0179,-135.4729,64.1493,32.9952,85.9101,10.8071,-11.1888,6.6961,2.4035,0.2287,0.2663,46.202,0.0716,3.7412,2.4386,-21.0784,-0.0485,1.0032,8203111770,8003054067,8191788500,853.0179,797.6505,335.413,471.3837,426476.0923,4680538.161,91335131.83,89576449.32,84895911.16,103047749.2,8508124.138,6.8506,0.6099,0.9579,124.8061,33821784.6,34852334.66,-5.3551,17102921204,3131.962,3007.6098,2977.4898,-30.5296,18.3795,36.2715,-17.3808,-0.0619,0.0375,33.101,28.74,58.5911,46.5019,-84,88,4,-0.7519,-0.7052,-0.1422,0.4289,0.5711,0.7401,-1.47,466.249,450.3666,450.2687,-0.0055,-0.0129,56.5724,-0.1703,-0.0767,0.1413,-0.0233,18.1853,14.1339,3.7708,0.603,1.3581,-0.5976,9.7861,10.4913,0.3523,9.7789,0.9458,9.5824,10.0357,0.92,70.7598,51.684,19.0758,57.702,25.2577,-0.3382,0.5018,0.0812,7.3157,2337.9927,1.036,0.7898,0.2222
9,000001.XSHE,1,2013/7/12,,,,,,28.225,,0.0053,3.0159,,0.5449,0.0163,0.0045,,,,-0.0008,-0.0014,0.003,1.332,0.6509,2.0463,19.4064,0.951,0.0337,0.7,0.0398,,0.4352,9.8111,11.4195,10.2229,9.8691,11.2978,1.7513,25.9757,0.049,0.4873,0.1605,0.1111,,-2.3828,0.0019,12.2029,0.4358,1.5448,0.0166,0.0074,,,-33.7805,25.1631,24.6624,0,,,9.5488,12.246,10.1734,9.6136,11.6484,-345.9128,52.3607,,0.1241,0.1847,0.3332,6.9198,,0.1997,0.3332,,0.224,0.4358,0.4358,0.2168,2.0001,,0.955,0.6884,6.2495,2.0761,0.4167,,1.0371,0.8756,1.1035,0.0092,0.0105,0.1679,0.2275,59.8614,0.1241,-0.0338,0.5642,0,1.9739,0.0835,1.9922,0.324,0.0256,0.7725,0.2132,0.0192,0.02,0.0186,0.0127,0.023,0.018,-242.075,1.7561,0.0208,58,0.181,-0.0459,14,0.548,0.0082,58,0.1444,0.1686,-33.5303,-2.2794,0.0605,0.0025,2.0812,8,0.3549,0.4802,0.9155,0.0311,68.0897,0.229,-0.4643,0.5107,0.5196,8.2778,1.6296,7.5483,-11.2396,8.1706,12.1762,184.5466,24.0321,108.7689,-106.5278,61.2078,42.3993,93.6588,10.3476,-12.4412,6.3556,3.4045,0.1982,0.2308,46.2005,0.0358,3.7412,2.2721,-24.4308,1.3888,1.0009,8203111770,8043020682,8178036207,933.6234,1045.4653,451.4139,750.0279,3158820.487,14088198.07,113247726,108388441.7,94300243.67,139316632.8,21858755.16,9.543,0.6667,108.2821,163.1209,52992779.69,44198701.49,-2.7805,18698222037,2978.1314,3001.9591,2971.7981,-22.4943,23.3909,11.6172,-20.7039,-0.0208,0.0802,41.4733,24.6446,54.3081,45.9459,-80,84,4,-0.7233,-0.6088,0.2514,0.6257,0.3743,0.3701,-1.2491,466.249,453.4163,451.5731,0.0007,-0.0115,55.5089,-0.1441,-0.0261,0.2655,0.0175,3.9276,12.8752,3.3411,0.6313,0.9991,-0.7642,9.8712,10.48,0.4746,9.9164,0.9591,9.9496,10.3653,0.9235,71.7184,56.2912,15.4272,66.5495,25.419,0.3505,0.9315,0.0562,7.3157,2337.9927,1.0593,0.802,0.2
