,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,000001.XSHE,000001,平安银行,XSHE,2013-07-01,9.97,9.97,9.81,9.95,9.44,9.75,80019664,775396030.0,27440,0.0161,0.5261778831,48443595281.2,79924266483.8,-0.0221,5.6395,5.3064,0.8731,1,9.69
1,000001.XSHE,000001,平安银行,XSHE,2013-07-02,9.75,9.75,9.78,9.8,9.37,9.6,81375376,776186620.0,32443,0.0164,0.5261778831,47698309200.0,78694662384.0,-0.0154,5.5527,5.2247,0.8597,1,9.538
2,000001.XSHE,000001,平安银行,XSHE,2013-07-03,9.6,9.6,9.55,9.55,9.27,9.33,77115848,723582020.0,24350,0.0155,0.5261778831,46356794253.8,76481375004.4,-0.0281,5.3966,5.0778,0.8355,1,9.383
3,000001.XSHE,000001,平安银行,XSHE,2013-07-04,9.33,9.33,9.22,9.57,9.01,9.37,80515992,750347520.0,29577,0.0162,0.5261778831,46555537208.8,76809269431.1,0.0043,5.4197,5.0995,0.8391,1,9.319
4,000001.XSHE,000001,平安银行,XSHE,2013-07-05,9.37,9.37,9.35,9.57,9.34,9.37,64144624,606232510.0,22003,0.0129,0.5261778831,46555537208.8,76809269431.1,0.0,5.4197,5.0995,0.8391,1,9.451
5,000001.XSHE,000001,平安银行,XSHE,2013-07-08,9.37,9.37,9.18,9.26,8.97,8.99,59500688,542811650.0,21739,0.012,0.5261778831,44667479136.2,73694272378.4,-0.0406,5.1999,4.8927,0.805,1,9.123
6,000001.XSHE,000001,平安银行,XSHE,2013-07-09,8.99,8.99,9.01,9.11,8.97,9.0,51215064,463017600.0,14578,0.0103,0.5261778831,44717164875.0,73776245985.0,0.0011,5.2057,4.8982,0.8059,1,9.041
7,000001.XSHE,000001,平安银行,XSHE,2013-07-10,9.0,9.0,9.01,9.4,8.99,9.4,74724160,686265860.0,24716,0.015,0.5261778831,46704594425.0,77055190251.0,0.0444,5.4371,5.1159,0.8417,1,9.184
8,000001.XSHE,000001,平安银行,XSHE,2013-07-11,9.4,9.4,9.5,10.34,9.5,10.34,173361152,1737228160.0,48838,0.0349,0.5261778831,51375053867.5,84760709276.1,0.1,5.9808,5.6275,0.9259,1,10.021
9,000001.XSHE,000001,平安银行,XSHE,2013-07-12,10.34,10.34,10.5,10.84,10.26,10.34,211854400,2237235970.0,61674,0.0426,0.5261778831,51375053867.5,84760709276.1,0.0,5.9808,5.6275,0.9259,1,10.56
